"","p","n","optRho","variable","FPR","MCE","TPR","Estimated_E","method"
"243",50,1000,0.0465,"V47",0.152115211521152,0.147755102040816,0.894736842105263,"E_3","loglikhood"
"244",50,1000,0.0465,"V48",0.145648312611012,0.142857142857143,0.888888888888889,"E_3","loglikhood"
"245",50,1000,0.0465,"V49",0.150772025431426,0.148571428571429,0.870967741935484,"E_3","loglikhood"
"246",50,1000,0.0465,"V50",0.15067264573991,0.146938775510204,0.890909090909091,"E_3","loglikhood"
"247",50,1000,0.0465,"V51",0.155938349954669,0.15265306122449,0.877049180327869,"E_3","loglikhood"
"248",50,1000,0.0465,"V52",0.160109789569991,0.15265306122449,0.909090909090909,"E_3","loglikhood"
"249",50,1000,0.0465,"V53",0.153915391539154,0.150204081632653,0.885964912280702,"E_3","loglikhood"
"250",50,1000,0.0465,"V54",0.13871260199456,0.133061224489796,0.918032786885246,"E_3","loglikhood"
"251",50,10000,0.0121,"V5",0.230839416058394,0.206530612244898,1,"E_3","loglikhood"
"252",50,10000,0.0121,"V6",0.239962651727358,0.209795918367347,1,"E_3","loglikhood"
"253",50,10000,0.0121,"V7",0.240072202166065,0.217142857142857,1,"E_3","loglikhood"
"254",50,10000,0.0121,"V8",0.243144424131627,0.217142857142857,1,"E_3","loglikhood"
"255",50,10000,0.0121,"V9",0.241727941176471,0.21469387755102,1,"E_3","loglikhood"
"256",50,10000,0.0121,"V10",0.254083484573503,0.228571428571429,1,"E_3","loglikhood"
"257",50,10000,0.0121,"V11",0.239782016348774,0.215510204081633,1,"E_3","loglikhood"
"258",50,10000,0.0121,"V12",0.263396911898274,0.236734693877551,1,"E_3","loglikhood"
"259",50,10000,0.0121,"V13",0.244805781391147,0.221224489795918,1,"E_3","loglikhood"
"260",50,10000,0.0121,"V14",0.235720761559384,0.212244897959184,1,"E_3","loglikhood"
"261",50,10000,0.0121,"V15",0.257826887661142,0.228571428571429,1,"E_3","loglikhood"
"262",50,10000,0.0121,"V16",0.25456204379562,0.227755102040816,1,"E_3","loglikhood"
"263",50,10000,0.0121,"V17",0.231818181818182,0.208163265306122,1,"E_3","loglikhood"
"264",50,10000,0.0121,"V18",0.239269406392694,0.213877551020408,1,"E_3","loglikhood"
"265",50,10000,0.0121,"V19",0.256340579710145,0.231020408163265,1,"E_3","loglikhood"
"266",50,10000,0.0121,"V20",0.248194945848375,0.224489795918367,1,"E_3","loglikhood"
"267",50,10000,0.0121,"V21",0.240072202166065,0.217142857142857,1,"E_3","loglikhood"
"268",50,10000,0.0121,"V22",0.227927927927928,0.206530612244898,1,"E_3","loglikhood"
"269",50,10000,0.0121,"V23",0.241598546775658,0.217142857142857,1,"E_3","loglikhood"
"270",50,10000,0.0121,"V24",0.263254113345521,0.235102040816327,1,"E_3","loglikhood"
"271",50,10000,0.0121,"V25",0.242479489516864,0.217142857142857,1,"E_3","loglikhood"
"272",50,10000,0.0121,"V26",0.239410681399632,0.212244897959184,1,"E_3","loglikhood"
"273",50,10000,0.0121,"V27",0.245960502692998,0.223673469387755,1,"E_3","loglikhood"
"274",50,10000,0.0121,"V28",0.226702508960573,0.206530612244898,1,"E_3","loglikhood"
"275",50,10000,0.0121,"V29",0.233885819521179,0.20734693877551,1,"E_3","loglikhood"
