"","TPR","FPR","MCE","method","Estimated_E","p","n"
"951",0.95,0.252941176470588,0.231578947368421,"cv_min","E_1",20,1000
"952",0.739130434782609,0.203592814371257,0.210526315789474,"cv_min","E_1",20,1000
"953",0.894736842105263,0.140350877192982,0.136842105263158,"cv_min","E_1",20,1000
"954",0.962962962962963,0.239263803680982,0.210526315789474,"cv_min","E_1",20,1000
"955",0.785714285714286,0.102272727272727,0.110526315789474,"cv_min","E_1",20,1000
"956",0.764705882352941,0.208092485549133,0.210526315789474,"cv_min","E_1",20,1000
"957",0.8,0.0971428571428571,0.105263157894737,"cv_min","E_1",20,1000
"958",0.761904761904762,0.159763313609467,0.168421052631579,"cv_min","E_1",20,1000
"959",0.866666666666667,0.0628571428571429,0.068421052631579,"cv_min","E_1",20,1000
"960",1,0.23780487804878,0.205263157894737,"cv_min","E_1",20,1000
"961",0.875,0.126436781609195,0.126315789473684,"cv_min","E_1",20,1000
"962",0.782608695652174,0.143712574850299,0.152631578947368,"cv_min","E_1",20,1000
"963",0.956521739130435,0.0838323353293413,0.0789473684210526,"cv_min","E_1",20,1000
"964",0.933333333333333,0.148571428571429,0.142105263157895,"cv_min","E_1",20,1000
"965",0.9375,0.183908045977011,0.173684210526316,"cv_min","E_1",20,1000
"966",0.9,0.252941176470588,0.236842105263158,"cv_min","E_1",20,1000
"967",0.947368421052632,0.146198830409357,0.136842105263158,"cv_min","E_1",20,1000
"968",0.833333333333333,0.215116279069767,0.210526315789474,"cv_min","E_1",20,1000
